大和 Yamato
長門 Nagato
陸奥 Mutsu
武蔵 Musashi
雪風 Yukikaze
島風 Shimakaze
吹雪 Fubuki
綾波 Ayanami
夕立 Yuudachi
初霜 Hatsushimo
時雨 Shigure
潮 Ushio
照月 Teruzuki
五月雨 Samidare
弥生 Yayoi
卯月 Uzuki
暁 Akatsuki
響 Hibiki
雷 Ikazuchi
電 Inazuma
時津風 Tokitsukaze
谷風 Tanikaze
睦月 Mutsuki
春雨 Harusame
海風 Umikaze
江風 Kawakaze
野分 Nowaki
秋雲 Akigumo
漣 Sazanami
満潮 Michishio
酒匂 Sakawa
阿武隈 Abukuma
五十鈴 Isuzu
神通 Jintsuu
大淀 Ooyodo
川内 Sendai
球磨 Kuma
阿賀 Agano
北上 Kitakami
大井 Ooi
木曾 Kiso
摩耶 Maya
妙高 Myoukou
古鷹 Furutaka
鳥海 Choukai
羽黒 Haguro
足柄 Ashigara
那智 Nachi
熊野 Kumano
利根 Tone
筑摩 Chikuma
鈴谷 Suzuya
最上 Mogami
隼鷹 Junyou
千歳航 Chitose
龍驤 Ryuujou
飛鷹 Hiyou
瑞鳳 Zuihou
榛名 Haruna
霧島 Kirishima
金剛 Kongou
比叡 Hiei
伊勢 Ise
山城 Yamashiro
扶桑 Fusou
日向 Hyuuga
加賀 Kaga
赤城 Akagi
飛龍 Hiryuu
翔鶴 Shoukaku
蒼龍 Souryuu
瑞鶴 Zuikaku
葛城 Katsuragi
呂500 Ro-500
伊168 I-168
まるゆ Maruyu
伊19 I-19
伊58 I-58
伊8 I-8
千代 Chiyoda
秋津洲 Akitsushima
明石 Akashi
大鯨 Taigei
速吸 Hayasui
多摩 Tama
矢矧 Yahagi
萩風 Hagikaze
鳳翔 Houshou
鹿島 Kashima
清霜 Kiyoshimo
天津風 Amatsukaze
霞 Kasumi
高雄 Takao
瑞穂 Mizuho
千代田 Chiyoda
磯風 Isokaze
初月 Hatsuzuki
朝雲 Asagumo
初風 Hatsukaze
朝霜 Asashimo
風雲 Kazagumo
